N,res1,res2
38600,0.9495454029,0.9423251295
39100,0.9513271653,0.9479539642
39600,0.9307226618,0.9424242424
40100,0.9373011871,0.9399937656
40600,0.967424366,0.9409482759
41100,0.9558917614,0.9448296837
41600,0.9572564633,0.9451923077
42100,0.9361885787,0.9472090261
42600,0.9532714057,0.9397593897
43100,0.9137905511,0.9439675174
43600,0.9572736159,0.9462729358
44100,0.9711113125,0.941978458
44600,0.9528129206,0.9393778027
45100,0.9424651529,0.9435698448
45600,0.9430045467,0.9437225877
46100,0.9437431323,0.9431941432
46600,0.92610647,0.9434549356
47100,0.9472374076,0.9413216561
47600,0.9681286644,0.9501838235
48100,0.9687774976,0.9470634096
48600,0.9484083655,0.9453446502
49100,0.9284540834,0.946614053
49600,0.9232108941,0.9422631048
50100,0.9514497522,0.9393463074
50600,0.9493492837,0.9467391304
51100,0.9417724653,0.945278865
51600,0.9582709974,0.9455426357
52100,0.9578449877,0.9479366603
52600,0.9480006714,0.9429420152
53100,0.9500595757,0.9421374765
53600,0.9279561109,0.9431669776
54100,0.9414837388,0.9395563771
54600,0.9280544432,0.9450549451
55100,0.954216175,0.9416288566
55600,0.9447608015,0.9432778777
56100,0.9382467747,0.9446969697
56600,0.943184603,0.9482111307
57100,0.9516115211,0.9456654991
57600,0.9421694948,0.9439453125
58100,0.9345633272,0.9392857143
58600,0.9523047847,0.945221843
59100,0.9325683372,0.9443739425
59600,0.9545963022,0.9467072148
60100,0.9172131591,0.9436772047
60600,0.9649941876,0.9434405941
61100,0.9397534362,0.9427782324
61600,0.9660583471,0.9425121753
62100,0.9410589247,0.9474033816
62600,0.930902283,0.9451078275
63100,0.9412445095,0.9402139461
63600,0.9531056239,0.9463050314
64100,0.9527996579,0.9460803432
64600,0.9353417177,0.9421633127
65100,0.9433906732,0.944047619
65600,0.957245063,0.9430449695
66100,0.9452975459,0.9443456884
66600,0.9506088489,0.9467905405
67100,0.9409173009,0.9419336811
67600,0.9441689726,0.9462093195
68100,0.9499426233,0.9451725404
68600,0.9417433443,0.9497266764
69100,0.9377429253,0.9455499276
69600,0.9599212397,0.9429597701
70100,0.9437822421,0.944828816
70600,0.9558264258,0.9500708215
71100,0.9620949167,0.9477496484
71600,0.9320215251,0.9454434358
72100,0.944031537,0.9434466019
72600,0.9420830089,0.9484848485
73100,0.9460130376,0.9470417237
73600,0.9426244861,0.9435461957
74100,0.9252429522,0.9459851552
74600,0.928033916,0.9464142091
75100,0.9403674511,0.9438748336
75600,0.9444360642,0.9457506614
76100,0.9363145127,0.9446287779
76600,0.9374372867,0.9492330287
77100,0.9371584231,0.9467088197
77600,0.9366325825,0.9474065722
78100,0.9386031383,0.9448783611
78600,0.9358483541,0.9448473282
79100,0.9467713434,0.9441055626
79600,0.9503510033,0.9442839196
80100,0.9417484753,0.9485018727
80600,0.9509841175,0.9442462779
81100,0.9505156102,0.9426325524
81600,0.9450488039,0.9448835784
82100,0.952674589,0.9442600487
82600,0.9491441204,0.9434776029
83100,0.9421463399,0.9453068592
83600,0.9302316448,0.943166866
84100,0.9314060569,0.9462693222
84600,0.9484253905,0.9447547281
85100,0.9452520904,0.9490893067
85600,0.9335976349,0.9460280374
86100,0.9386773077,0.943568525
86600,0.9421266159,0.9430138568
87100,0.9350440057,0.94413031
87600,0.9463544896,0.9454765982
88100,0.9284032893,0.9446367764
88600,0.9572902265,0.9435806998
89100,0.9334778125,0.9446689113
89600,0.9543101085,0.9460797991
90100,0.9588335194,0.9439650388
90600,0.9540784854,0.9438741722
91100,0.9501226828,0.9449094402
91600,0.9499248559,0.942330786
92100,0.9577517863,0.9443132465
92600,0.9411363575,0.9448569114
93100,0.9314871398,0.9427094522
93600,0.9492585523,0.9440438034
94100,0.9542364259,0.947130712
94600,0.9434377174,0.9450977801
